"Category ID","Date added","Description","Enabled","Image","Last modified","Meta tag description","Meta tag keywords","Meta tag title","Name","Parent category ID","Parent category: Name","Sort order"
"5","2007-05-23 14:03:54","","1","","2007-06-07 13:52:48","","","","Junior's","0","","0"
"6","2007-05-23 14:17:26","","1","","2007-06-07 13:53:03","","","","Element Guard","0","","0"
"7","2007-05-23 14:22:35","","1","","2007-06-07 13:52:37","","","","Boot","0","","0"
"8","2007-05-29 12:05:13","","1","","","","","","Buoyancy Compensator","0","","0"
"9","2007-05-29 12:09:28","","1","boot01.jpg","2007-06-15 19:18:07","","","","5mm","7","Boot","2"
"10","2007-05-29 17:02:04","","1","oc4x.jpg","2008-01-09 10:52:13","","","","Octopus","0","","0"
"11","2007-05-29 17:04:31","","1","","","","","","Wetsuit","0","","0"
"15","2007-05-29 17:06:21","","1","","","","","","Glove","0","","0"
"16","2007-05-29 17:06:40","","1","","","","","","Hood/Vest","0","","0"
"17","2007-05-29 17:06:51","","1","","","","","","Knife","0","","0"
"18","2007-05-29 17:07:04","","1","","","","","","Mask","0","","0"
"19","2007-05-29 17:07:28","","1","","","","","","Snorkel","0","","0"
"20","2007-05-29 17:07:49","","1","","","","","","Combo Set","0","","0"
"21","2007-05-29 17:08:00","","1","","","","","","Bag","0","","0"
"22","2007-05-29 17:08:14","","1","","","","","","Fin","0","","0"
"23","2007-05-29 17:08:33","","1","","","","","","Accessory","0","","0"
"24","2007-06-12 10:55:04","","1","","","","","","Tank Valve","0","","0"
"25","2007-06-12 11:08:50","","1","JS7206 _ JS7216.jpg","2007-06-14 18:21:07","","","","Cold Water","11","Wetsuit","3"
"26","2007-06-12 11:47:02","","1","J5048.gif","2008-02-01 17:43:27","","","","Temperate Water","11","Wetsuit","2"
"27","2007-06-12 17:57:49","","1","JSP306 FRONT.jpg","2007-06-14 18:20:45","","","","Warm Water","11","Wetsuit","1"
"28","2007-06-14 18:01:14","","1","categories/94156 RG317BKBR .jpg","","","","","Wheel","21","Bag","1"
"29","2007-06-14 18:03:06","","1","categories/94164.jpg","2010-06-10 17:54:41","","","","Duffel","21","Bag","2"
"30","2007-06-14 18:04:07","","1","categories/97205.jpg","2007-06-14 18:05:20","","","","Backpack","21","Bag","3"
"31","2007-06-14 18:06:18","","1","categories/94154.jpg","2007-06-28 17:44:20","","","","Fin Backpack/Mesh","21","Bag","4"
"33","2007-06-14 18:08:52","","1","categories/92217.jpg","","","","","Regulator","21","Bag","6"
"35","2007-06-14 18:11:03","","1","categories/95300.jpg","2008-02-07 12:21:10","","","","Specialty","21","Bag","7"
"36","2007-06-14 18:14:49","","1","categories/SET-P370.jpg","","","","","Mask/Snorkel/Fin","20","Combo Set","2"
"37","2007-06-14 18:15:20","","1","SET_M250.jpg","2007-09-28 11:13:00","","","","Mask/Snorkel","20","Combo Set","1"
"38","2007-06-14 18:50:18","","1","categories/L100RD _ L100YL.jpg","2009-11-25 17:57:56","","","","Skin Suit","6","Element Guard","1"
"39","2007-06-14 18:52:14","","1","categories/L500.jpg","","","","","Polypropylene","6","Element Guard","2"
"40","2007-06-14 18:53:29","","1","categories/J1056.jpg","2007-06-14 18:53:47","","","","Metal-Light","6","Element Guard","3"
"41","2007-06-14 18:55:07","","1","categories/DSCF2918_1.jpg","","","","","Rash Guard","6","Element Guard","4"
"42","2007-06-14 18:58:03","","1","categories/L600.jpg","","","","","Dry Suit Undergarment","6","Element Guard","5"
"43","2007-06-14 19:00:04","","1","categories/LHCF800.gif","2008-02-04 17:58:31","","","","Boat Jacket","6","Element Guard","6"
"44","2007-06-15 12:41:09","","1","categories/k601.jpg","","","","","Drop Point","17","Knife","1"
"45","2007-06-15 12:41:38","","1","categories/k602.jpg","2009-02-23 17:25:44","","","","Blunt Tip","17","Knife","2"
"46","2007-06-15 12:43:04","","1","categories/M410.jpg","","","","","Panoramic","18","Mask","1"
"47","2007-06-15 12:44:02","","1","categories/m150.jpg","2007-06-15 12:44:22","","","","Frameless","18","Mask","2"
"48","2007-06-15 12:45:13","","1","categories/m140.jpg","","","","","Double Lens","18","Mask","3"
"49","2007-06-15 12:45:57","","1","categories/m440.jpg","","","","","Single Lens","18","Mask","4"
"50","2007-06-15 12:47:01","","1","categories/M690.jpg","","","","","Wide Vision","18","Mask","5"
"51","2007-06-15 12:47:48","","1","categories/m395.jpg","2007-06-15 12:48:01","","","","Junior's","18","Mask","6"
"53","2007-06-15 12:51:29","","1","categories/s302.jpg","2007-06-15 12:54:40","","","","Dry","19","Snorkel","1"
"54","2007-06-15 12:55:34","","1","categories/S1000_.jpg","","","","","Semi-Dry","19","Snorkel","2"
"55","2007-06-15 12:56:15","","1","categories/S500.jpg","","","","","Standard","19","Snorkel","3"
"56","2007-06-15 12:56:45","","1","categories/S780C.jpg","2007-06-15 12:58:03","","","","Junior's","19","Snorkel","4"
"57","2007-06-15 19:18:50","","1","categories/152730-23663.jpg","2008-08-21 17:44:18","","","","6.5 - 7mm","7","Boot","1"
"58","2007-06-15 19:20:31","","1","categories/B3803.jpg","","","","","3mm","7","Boot","3"
"59","2007-06-19 11:47:19","","1","categories/B3240.jpg","2008-01-15 18:33:59","","","","Socks","7","Boot","5"
"60","2007-06-19 11:55:24","","1","categories/152334-23662.jpg","2007-06-19 12:03:31","","","","5mm","15","Glove","1"
"61","2007-06-19 12:04:24","","1","categories/gk324.jpg","","","","","3mm","15","Glove","2"
"62","2007-06-19 12:05:35","","1","categories/152028-23660-1.jpg","","","","","2mm","15","Glove","3"
"63","2007-06-19 12:06:09","","1","categories/G1366.jpg","","","","","1.5mm","15","Glove","4"
"64","2007-06-28 18:15:44","","1","categories/f7900.jpg","","","","","Open Heel","22","Fin","1"
"65","2007-06-28 18:16:21","","1","categories/f7212.jpg","","","","","Full Foot","22","Fin","2"
"66","2007-12-07 17:44:12","","1","GA200.jpg","2008-01-11 14:49:32","","","","Gauge","0","","0"
"67","2008-01-09 10:49:28","","1","categories/RL9000.jpg","","","","","Regulator","0","","0"
"68","2008-01-15 18:10:31","","1","LT02.jpg","2010-03-18 12:27:06","","","","Light","0","","0"
"69","2008-01-15 18:32:17","","1","categories/B1008.jpg","2008-01-15 18:33:41","","","","G-DEFIED","7","Boot","4"
"70","2008-02-07 17:33:30","","1","categories/FS-02.jpg","","","","","Fin Strap","22","Fin","3"
"71","2009-02-05 17:05:02","","1","","","","","","First Stage","0","","0"
"72","2009-02-10 17:57:41","","1","CL-005.jpg","2009-02-10 18:01:57","","","","Mask Clamshell","18","Mask","0"
"73","2009-02-18 16:29:14","","1","M190.jpg","2009-02-18 17:23:17","","","","Metal","18","Mask","8"
"75","2009-02-24 18:24:29","","1","categories/PC18.jpg","","","","","Pressure Checker","0","","0"
"76","2009-03-09 11:49:08","","1","categories/95052.jpg","","","","","Dry","21","Bag","0"
"77","2009-05-14 15:48:23","","1","categories/SFJ01 & SFP01.jpg","","","","","Spearfishing Camouflage","6","Element Guard","0"
